id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year,date_upload_minute,date_upload_hour,date_upload_day,date_upload_month,date_upload_year,url,datetime_taken,datetime_upload,anomaly_reasons
31903701756,40936370@N00,45.83741,4.827525,"laurentwauquiez,hommepolitique,lesrépublicains,secrétairegeneral,ump,président,conseilrégional,auvergnerhônealpes,frenchpolitician,regionalcouncil,abodeofchaos,chaos,lespritdelasalamandre,salamanderspirit,demeureduchaos,thierryehrmann,ddc,999,groupeserveur,taz,organmuseum,servergroup,facteurcheval,palaisideal,sanctuaire,sanctuary,artprice,saintromainaumontdor,portrait,painting,peinture,france,museum,sculpture,architecture,maisondartiste,art,artistshouses,streetart,sculpturemoderne,modernsculpture,secret,alchimie,alchemy,landart,artbrut,artsingulier,rawart,symbol,911,contemporaryart,apocalypse,postapocalyptique,cyberpunk,graffiti,vanitas,ruins,prophecy,prophétie,container,dadaisme,outsiderart,mystery","Laurent Wauquiez, painted portrait _DDC0024",17,19,28,12,2016,15,19,28,12,2016,https://www.flickr.com/photos/40936370@N00/31903701756,2016-12-28 19:17:00,2016-12-28 19:15:00,upload_before_taken
31903701236,40936370@N00,45.83741,4.827525,"jamesmattis,general,marinesaméricaines,secrétairedefense,etatsunis,unitedstatescentralcommand,otan,marinecorpsgeneral,secretaryofdefense,abodeofchaos,chaos,lespritdelasalamandre,salamanderspirit,demeureduchaos,thierryehrmann,ddc,999,groupeserveur,taz,organmuseum,servergroup,facteurcheval,palaisideal,sanctuaire,sanctuary,artprice,saintromainaumontdor,portrait,painting,peinture,france,museum,sculpture,architecture,maisondartiste,art,artistshouses,streetart,sculpturemoderne,modernsculpture,secret,alchimie,alchemy,landart,artbrut,artsingulier,rawart,symbol,911,contemporaryart,apocalypse,postapocalyptique,cyberpunk,graffiti,vanitas,ruins,prophecy,prophétie,container,dadaisme,outsiderart,mystery","James Mattis, painted portrait _DDC0028",19,19,28,12,2016,15,19,28,12,2016,https://www.flickr.com/photos/40936370@N00/31903701236,2016-12-28 19:19:00,2016-12-28 19:15:00,upload_before_taken
31903700926,40936370@N00,45.83741,4.827525,"jamesmattis,general,marinesaméricaines,secrétairedefense,etatsunis,unitedstatescentralcommand,otan,marinecorpsgeneral,secretaryofdefense,abodeofchaos,chaos,lespritdelasalamandre,salamanderspirit,demeureduchaos,thierryehrmann,ddc,999,groupeserveur,taz,organmuseum,servergroup,facteurcheval,palaisideal,sanctuaire,sanctuary,artprice,saintromainaumontdor,portrait,painting,peinture,france,museum,sculpture,architecture,maisondartiste,art,artistshouses,streetart,sculpturemoderne,modernsculpture,secret,alchimie,alchemy,landart,artbrut,artsingulier,rawart,symbol,911,contemporaryart,apocalypse,postapocalyptique,cyberpunk,graffiti,vanitas,ruins,prophecy,prophétie,container,dadaisme,outsiderart,mystery","James Mattis, painted portrait _DDC0030",19,19,28,12,2016,16,19,28,12,2016,https://www.flickr.com/photos/40936370@N00/31903700926,2016-12-28 19:19:00,2016-12-28 19:16:00,upload_before_taken
31567613200,40936370@N00,45.83741,4.827525,"jamesmattis,general,marinesaméricaines,secrétairedefense,etatsunis,unitedstatescentralcommand,otan,marinecorpsgeneral,secretaryofdefense,abodeofchaos,chaos,lespritdelasalamandre,salamanderspirit,demeureduchaos,thierryehrmann,ddc,999,groupeserveur,taz,organmuseum,servergroup,facteurcheval,palaisideal,sanctuaire,sanctuary,artprice,saintromainaumontdor,portrait,painting,peinture,france,museum,sculpture,architecture,maisondartiste,art,artistshouses,streetart,sculpturemoderne,modernsculpture,secret,alchimie,alchemy,landart,artbrut,artsingulier,rawart,symbol,911,contemporaryart,apocalypse,postapocalyptique,cyberpunk,graffiti,vanitas,ruins,prophecy,prophétie,container,dadaisme,outsiderart,mystery","James Mattis, painted portrait _DDC0036",21,19,28,12,2016,16,19,28,12,2016,https://www.flickr.com/photos/40936370@N00/31567613200,2016-12-28 19:21:00,2016-12-28 19:16:00,upload_before_taken
31824232101,40936370@N00,45.83741,4.827525,"jamesmattis,general,marinesaméricaines,secrétairedefense,etatsunis,unitedstatescentralcommand,otan,marinecorpsgeneral,secretaryofdefense,abodeofchaos,chaos,lespritdelasalamandre,salamanderspirit,demeureduchaos,thierryehrmann,ddc,999,groupeserveur,taz,organmuseum,servergroup,facteurcheval,palaisideal,sanctuaire,sanctuary,artprice,saintromainaumontdor,portrait,painting,peinture,france,museum,sculpture,architecture,maisondartiste,art,artistshouses,streetart,sculpturemoderne,modernsculpture,secret,alchimie,alchemy,landart,artbrut,artsingulier,rawart,symbol,911,contemporaryart,apocalypse,postapocalyptique,cyberpunk,graffiti,vanitas,ruins,prophecy,prophétie,container,dadaisme,outsiderart,mystery","James Mattis, painted portrait _DDC0032",20,19,28,12,2016,16,19,28,12,2016,https://www.flickr.com/photos/40936370@N00/31824232101,2016-12-28 19:20:00,2016-12-28 19:16:00,upload_before_taken
31630315291,40936370@N00,45.837586,4.826513,"antónioguterres,partisocialiste,hommepolitique,portugais,ministre,nationsunies,portuguesepolitician,diplomat,unitednations,socialistparty,primeministerofportugal,abodeofchaos,chaos,lespritdelasalamandre,salamanderspirit,demeureduchaos,thierryehrmann,ddc,999,groupeserveur,taz,organmuseum,servergroup,facteurcheval,palaisideal,sanctuaire,sanctuary,artprice,saintromainaumontdor,portrait,painting,peinture,france,museum,sculpture,architecture,maisondartiste,art,artistshouses,streetart,sculpturemoderne,modernsculpture,secret,alchimie,alchemy,landart,artbrut,artsingulier,rawart,symbol,911,contemporaryart,apocalypse,postapocalyptique,cyberpunk,graffiti,vanitas,ruins,prophecy,prophétie,container,dadaisme,outsiderart,mystery","António Guterres, painted potrait _DDC0053",18,13,22,12,2016,42,19,19,12,2016,https://www.flickr.com/photos/40936370@N00/31630315291,2016-12-22 13:18:00,2016-12-19 19:42:00,upload_before_taken
31630314301,40936370@N00,45.837586,4.826513,"antónioguterres,partisocialiste,hommepolitique,portugais,ministre,nationsunies,portuguesepolitician,diplomat,unitednations,socialistparty,primeministerofportugal,abodeofchaos,chaos,lespritdelasalamandre,salamanderspirit,demeureduchaos,thierryehrmann,ddc,999,groupeserveur,taz,organmuseum,servergroup,facteurcheval,palaisideal,sanctuaire,sanctuary,artprice,saintromainaumontdor,portrait,painting,peinture,france,museum,sculpture,architecture,maisondartiste,art,artistshouses,streetart,sculpturemoderne,modernsculpture,secret,alchimie,alchemy,landart,artbrut,artsingulier,rawart,symbol,911,contemporaryart,apocalypse,postapocalyptique,cyberpunk,graffiti,vanitas,ruins,prophecy,prophétie,container,dadaisme,outsiderart,mystery","António Guterres, painted potrait _DDC0055",17,13,22,12,2016,42,19,19,12,2016,https://www.flickr.com/photos/40936370@N00/31630314301,2016-12-22 13:17:00,2016-12-19 19:42:00,upload_before_taken
31366470322,45018599@N05,45.767286,4.881919,,8 décembre,1,21,8,12,2016,43,20,8,12,2016,https://www.flickr.com/photos/45018599@N05/31366470322,2016-12-08 21:01:00,2016-12-08 20:43:00,upload_before_taken
31060241412,13509305@N02,45.763059,5.002496,"instagramapp,square,squareformat,iphoneography,uploaded:by=instagram",Hope. Discover. Explore.,24,10,24,11,2016,24,0,24,11,2016,https://www.flickr.com/photos/13509305@N02/31060241412,2016-11-24 10:24:00,2016-11-24 00:24:00,upload_before_taken
30305717603,90348978@N06,45.7687,4.83939,"instagramapp,square,squareformat,iphoneography,uploaded:by=instagram,ludwig",#lyon at night...,45,19,19,11,2016,45,16,19,11,2016,https://www.flickr.com/photos/90348978@N06/30305717603,2016-11-19 19:45:00,2016-11-19 16:45:00,upload_before_taken
